date,forecast,ci80_lower,ci80_upper,ci95_lower,ci95_upper
2033-01-01,215.1481276116534,-2002.7338372080526,2433.030092431359,-3180.983631018521,3611.2798862418276
2033-02-01,5670.298046798349,3452.416081978643,7888.180011618055,2274.1662881681746,9066.429805428523
2033-03-01,10886.19422345854,8668.312258638834,13104.076188278246,7490.0624648283665,14282.325982088714
2033-04-01,10276.054366100894,8058.172401281188,12493.9363309206,6879.92260747072,13672.186124731068
2033-05-01,10739.522374145885,8521.640409326179,12957.40433896559,7343.390615515711,14135.654132776059
2033-06-01,11366.909748670903,9149.027783851197,13584.79171349061,7970.7779900407295,14763.041507301077
2033-07-01,12810.032598547648,10592.150633727942,15027.914563367354,9413.900839917475,16206.164357177822
2033-08-01,13000.117939756745,10782.235974937039,15217.99990457645,9603.986181126571,16396.24969838692
2033-09-01,11475.3572610003,9257.475296180593,13693.239225820005,8079.2255023701255,14871.489019630473
2033-10-01,11081.507731117943,8863.625766298237,13299.389695937649,7685.375972487769,14477.639489748117
2033-11-01,11385.616538234037,9167.734573414331,13603.498503053743,7989.484779603863,14781.74829686421
2033-12-01,12608.064571009274,10390.182606189568,14825.94653582898,9211.9328123791,16004.196329639448
2034-01-01,222.77521359591282,-1995.106751223793,2440.6571784156185,-3173.3565450342617,3618.906972226087
2034-02-01,5870.720261866466,3652.83829704676,8088.602226686172,2474.5885032362917,9266.85202049664
2034-03-01,11269.84732685914,9051.965362039435,13487.729291678846,7873.715568228967,14665.979085489314
2034-04-01,10637.144350945142,8419.262386125436,12855.026315764848,7241.012592314968,14033.276109575316
2034-05-01,11115.796324953692,8897.914360133986,13333.678289773397,7719.664566323518,14511.928083583865
2034-06-01,11764.005679613723,9546.123714794017,13981.88764443343,8367.87392098355,15160.137438243897
2034-07-01,13256.244119590916,11038.36215477121,15474.126084410622,9860.112360960742,16652.37587822109
2034-08-01,13451.640043603795,11233.758078784089,15669.5220084235,10055.50828497362,16847.77180223397
2034-09-01,11872.770888864727,9654.88892404502,14090.652853684433,8476.639130234553,15268.9026474949
2034-10-01,11464.177212991064,9246.295248171358,13682.05917781077,8068.04545436089,14860.308971621238
2034-11-01,11777.659406719,9559.777441899294,13995.541371538706,8381.527648088826,15173.791165349174
2034-12-01,13040.958042409891,10823.076077590185,15258.840007229597,9644.826283779717,16437.089801040067
2035-01-01,230.40229958017224,-1987.4796652395337,2448.2842643998783,-3165.729459050002,3626.5340582103468
2035-02-01,6071.142476934585,3853.260512114879,8289.02444175429,2675.0107183044106,9467.274235564759
2035-03-01,11653.50043025974,9435.618465440035,13871.382395079447,8257.368671629567,15049.632188889915
2035-04-01,10998.23433578939,8780.352370969684,13216.116300609096,7602.102577159216,14394.366094419564
2035-05-01,11492.070275761498,9274.188310941792,13709.952240581204,8095.938517131324,14888.202034391672
2035-06-01,12161.101610556545,9943.219645736839,14378.98357537625,8764.969851926371,15557.233369186719
2035-07-01,13702.455640634182,11484.573675814476,15920.337605453888,10306.323882004008,17098.587399264357
2035-08-01,13903.162147450845,11685.280182631139,16121.04411227055,10507.03038882067,17299.29390608102
2035-09-01,12270.184516729154,10052.302551909448,14488.06648154886,8874.05275809898,15666.316275359328
2035-10-01,11846.846694864182,9628.964730044476,14064.728659683888,8450.714936234008,15242.978453494356
2035-11-01,12169.702275203963,9951.820310384257,14387.584240023669,8773.570516573789,15565.834033834137
2035-12-01,13473.85151381051,11255.969548990804,15691.733478630216,10077.719755180337,16869.983272440684
