date,forecast,ci80_lower,ci80_upper,ci95_lower,ci95_upper
2027-09-01,14458.741049644505,4061.2670138703706,24856.21508541864,-1462.3910676346368,30379.873166923644
2027-10-01,20279.6750432027,9882.201007428566,30677.149078976836,4358.542925923559,36200.80716048184
2027-11-01,15933.711984806203,5536.237949032069,26331.18602058034,12.579867527061651,31854.844102085342
2027-12-01,16467.554310074665,6070.0802743005315,26865.028345848797,546.4221927955241,32388.68642735381
2028-01-01,16142.656615106547,5745.182579332413,26540.13065088068,221.52449782740587,32063.78873238569
2028-02-01,14886.005697921139,4488.531662147005,25283.479733695272,-1035.1264193580027,30807.13781520028
2028-03-01,16271.63560069109,5874.161564916956,26669.109636465226,350.50348341194876,32192.76771797023
2028-04-01,16537.25761227744,6139.783576503307,26934.731648051573,616.1254949982995,32458.389729556584
2028-05-01,20532.737408877532,10135.263373103398,30930.211444651664,4611.605291598391,36453.869526156675
2028-06-01,25782.567516652627,15385.093480878493,36180.04155242676,9861.435399373486,41703.69963393177
2028-07-01,18524.64937243427,8127.175336660135,28922.123408208405,2603.5172551551277,34445.78148971341
2028-08-01,18505.66393109035,8108.1898953162145,28903.13796686448,2584.531813811207,34426.79604836949
2028-09-01,15213.166473134588,4815.692437360454,25610.64050890872,-707.9656441445532,31134.29859041373
2028-10-01,21333.242974486926,10935.768938712792,31730.71701026106,5412.110857207785,37254.375091766065
2028-11-01,16757.930506765275,6360.456470991141,27155.404542539407,836.7983894861336,32679.062624044418
2028-12-01,17315.731204516633,6918.257168742499,27713.205240290765,1394.5990872374914,33236.863321795776
2029-01-01,16970.545912934598,6573.071877160464,27368.01994870873,1049.4137956554569,32891.67803021374
2029-02-01,15646.197707301679,5248.723671527545,26043.671743075814,-274.93440997746256,31567.32982458082
2029-03-01,17099.06710771528,6701.593071941146,27496.541143489412,1177.9349904361388,33020.19922499442
2029-04-01,17374.64778444825,6977.173748674117,27772.121820222383,1453.5156671691093,33295.779901727394
2029-05-01,21568.076179836004,11170.60214406187,31965.550215610136,5646.944062556862,37489.20829711515
2029-06-01,27077.182751015767,16679.708715241635,37474.6567867899,11156.050633736626,42998.31486829491
2029-07-01,19450.948116777603,9053.47408100347,29848.422152551735,3529.8159994984617,35372.080234056746
2029-08-01,19427.17343775701,9029.699401982876,29824.647473531142,3506.041320477869,35348.30555503615
2029-09-01,15967.591896624672,5570.117860850538,26365.065932398807,46.45977934553048,31888.72401390381
2029-10-01,22386.810905771148,11989.336869997014,32784.28494154528,6465.678788492007,38307.94302305029
2029-11-01,17582.14902872434,7184.674992950206,27979.623064498475,1661.0169114451983,33503.28114600348
2029-12-01,18163.9080989586,7766.434063184466,28561.382134732732,2242.7759816794587,34085.04021623774
2030-01-01,17798.435210762647,7400.961174988513,28195.90924653678,1877.303093483506,33719.56732804179
2030-02-01,16406.38971668222,6008.915680908087,26803.863752456353,485.25759940307944,32327.521833961364
2030-03-01,17926.498614739467,7529.024578965333,28323.9726505136,2005.3664974603253,33847.63073201861
2030-04-01,18212.037956619057,7814.563920844923,28609.511992393192,2290.9058393399155,34133.170073898196
2030-05-01,22603.414950794475,12205.940915020341,33000.88898656861,6682.282833515334,38524.54706807362
2030-06-01,28371.797985378907,17974.323949604775,38769.27202115304,12450.665868099766,44292.93010265805
2030-07-01,20377.246861120933,9979.7728253468,30774.720896895065,4456.114743841792,36298.37897840008
2030-08-01,20348.682944423676,9951.208908649542,30746.15698019781,4427.550827144534,36269.815061702815
2030-09-01,16722.017320114755,6324.5432843406215,27119.491355888887,800.8852028356141,32643.1494373939
2030-10-01,23440.37883705537,13042.904801281236,33837.852872829506,7519.246719776229,39361.51095433451
2030-11-01,18406.367550683408,8008.893514909274,28803.841586457544,2485.2354334042666,34327.49966796255
2030-12-01,19012.084993400567,8614.610957626433,29409.5590291747,3090.952876121426,34933.21711067971
